,Song Title,Song BPM,Song Duration,Genre
422,I Got the Keys (Dirty),140.00,219,Hip Hop
423,You Mine (Clean),136.00,240,Hip Hop
424,You Mine (Dirty),136.00,240,Hip Hop
425,How Many Times (MMP Intro) (Clean),116.00,356,Hip Hop
426,How Many Times (MMP Intro) (Dirty),116.00,356,Hip Hop
427,For Free (Dj Rukus Intro Edit - Clean),103.48,180,Hip Hop/Rap
428,For Free (Dj Rukus Intro Edit - Dirty),103.50,180,Hip Hop/Rap
429,Whole Lot Of Lovin (Clean),120.00,264,Hip Hop
430,Whole Lot Of Lovin (Dirty),120.00,264,Hip Hop
431,Propaganda (Clean),150.00,240,Trap
432,Turn Down For What (Onderkoffer Remix) (Dirty),100.00,195,Twerk
433,Lean On (SMgglrz Remix),130.00,232,Electronica
434,Cake By The Ocean (Clean),119.00,217,Pop
435,The Next Episode (Caked Up Remix) (Syntrix Quick Hit) (MMP Intro) (Dirty),95.00,96,Intros
436,Back To Back (MMP Intro) (Clean),87.00,198,Intros
437,Charged Up (Clean),86.29,233,Hip Hop
438,Charged Up (Dirty),86.35,246,Hip Hop
439,Childs Play (Dj Rukus Intro Edit - Clean),80.04,288,Hip Hop
440,Childs Play (Dj Rukus Intro Edit - Dirty),80.00,288,Hip Hop
441,Legend (DJ JAY MMP Intro) (Clean),100.01,249,Hip Hop
442,Legend (DJ JAY MMP Intro) (Dirty),100.01,249,Hip Hop
443,Right Hand (MMP Intro) (Dirty),100.50,171,Intros
444,Summer Sixteen (Dj Rukus Intro Edit) (Clean),148.00,215,Hip Hop
445,Summer Sixteen (Dj Rukus Intro Edit) (Dirty),148.00,215,Hip Hop
446,Big Rings (MMP Intro) (Dirty),132.00,232,Hip Hop
447,Digital Dash (Dirty),140.00,231,Hip Hop
448,Jumpman (Dirty),71.00,205,Other
449,Live From The Gutter (Dirty),83.00,211,Hip Hop
450,Live The Gutter (Clean),83.00,211,Hip Hop
451,Pound Cake (Nate Bizzle Intro Edit) (Dirty),94.03,214,Hip Hop
452,One Dance (Latin Remix),104.00,316,Latin
453,Energy (Remix) (MMP Intro) (Dirty),85.93,162,Intros
454,One Dance (8Mix),104.00,185,Hip Hop
455,Controlla (Dj Rukus Drake Only Edit) (Clean),94.00,143,Hip Hop
456,Too Good (Clean),118.00,260,Hip Hop
457,Too Good (Dirty),118.00,260,Hip Hop
458,Cha Cha (Clean),135.00,249,R&amp;B
459,Cha Cha (Dirty),135.00,249,R&amp;B
460,Im Shipping Up to Boston (Clean),129.30,152,Holiday
461,Im Shipping Up to Boston (Dj Rukus Intro Edit) (Clean),130.09,163,Holiday
462,Choices (Yup) (Clean),120.00,273,Hip Hop
463,Choices (Yup) (Instrumental),120.00,273,Hip Hop
464,Choices (Yup) (Remix) (Dirty),120.00,276,Hip Hop
465,Choices (Yup) (Remix) (Dirty),120.00,276,Hip Hop
466,Choices (Yup) (Remix) (Dirty),120.00,305,Hip Hop
467,Slappin feat. Nef The Pharaoh and D.R.A.M. (Clean),99.00,230,Hip Hop
468,Slappin feat. Nef The Pharaoh and D.R.A.M. (Dirty),99.00,230,Hip Hop
469,Sliding Down The Pole (Dj Rukus Intro Edit) (Clean),98.00,205,Hip Hop
470,Sliding Down The Pole (Dj Rukus Intro Edit) (Dirty),98.00,205,Hip Hop
471,Choices (Remix)(MMP Intro) (Dirty),120.00,304,Hip Hop
472,Do It Again (Clean),112.00,271,Hip Hop
473,Do It Again (Dirty),112.00,271,Hip Hop
474,September (Rad Stereo Remix),128.00,260,Nu Disco
475,Cool Kids (Dan Maarten Remix),126.00,283,House
476,Dont (Chorus Intro),95.00,242,Pop
477,Photograph (Radio Edit),108.00,222,Pop
478,Thinking Out Loud (Intro),79.00,382,Intros
479,Position (DJ JAY MMP Intro),97.00,215,Intros
480,I Want You (Extended Mix),128.00,294,Progressive
481,I Want You (Radio Edit),128.00,198,Progressive
482,Americas Sweetheart (Clean),128.00,224,Pop
483,Exs and Ohs (DJ Riddler Remix) (Radio Edit),130.03,201,Remix
484,Exs And Ohs,140.00,201,Alternative
485,Good Girls (Clean),176.00,176,Alternative
486,Love Me Like You Do (N And D Drum Refix),96.00,210,Rock
487,On My Mind (Clean),77.50,210,Pop
488,Something In The Way You Move,109.00,222,Pop
489,Looking Up (Radio Edit),151.99,244,Pop
490,Phenomenal (MMP Intro) (Clean),113.60,337,Intros
491,Phenomenal (MMP Intro) (Dirty),113.94,337,Intros
492,Kings Never Die (MMP Intro) (Clean),112.50,323,Intros
493,All Nite (Remix) (MMP Intro) (Clean),100.01,240,Hip Hop
494,All Nite (Remix) (MMP Intro) (Dirty),100.01,240,Hip Hop
495,No Doubt About It,124.00,219,MainStream
496,Look But Dont Touch,104.00,224,Hip Hop
497,Duele El Corazon,91.00,199,Latin
498,Record Year (Clean),80.03,178,Country
499,Policeman (Clean Intro),105.00,230,Pop
500,Bring Me To Life (Radical Jaay and Nic Spiteri Remix) (DEFs Short Edit) (Clean),128.00,157,Bootleg
501,Doin It Well (Intro) (Clean),90.96,274,Hip Hop
502,Doin It Well (Intro) (Dirty),90.98,274,Hip Hop
503,Irresistable (MMP Intro) (Clean),164.96,232,Alternative
504,All The Way Up (Dj Rukus Intro Edit) (Clean),87.60,213,Hip Hop
505,All The Way Up (Dj Rukus Intro Edit) (Dirty),87.63,213,Hip Hop
506,M.I.L.F. Money (Dj Rukus Intro Edit - Clean),80.50,199,Hip Hop
507,M.I.L.F. Money (Dj Rukus Intro Edit - Dirty),80.50,199,Hip Hop
508,679 (Remy Boyz) (Hook First) (Syntrix QH) (Intro) (Clean),95.00,106,Intros
509,Again (Clean),93.00,312,Hip Hop
510,Again (Dirty),93.00,312,Hip Hop
511,Rgf Island (MMP Intro) (Clean),92.02,208,Hip Hop
512,Rgf Island (MMP Intro) (Dirty),92.02,208,Hip Hop
513,Trap Queen (DJ Rukus 90-74 Transition) (Clean),147.98,247,Transitions
514,Trap Queen (DJ Rukus 90-74 Transition) (Dirty),74.03,247,Transitions
515,Wake Up (Dj Rukus Intro Edit - Clean),90.00,245,Hip Hop
516,Wake Up (Dj Rukus Intro Edit - Dirty),90.00,245,Hip Hop
517,My Way (Remix) (Intro) (Clean),128.00,286,Intros
518,My Way (Remix) (MMP Intro) (Dirty),128.00,309,Intros
519,I Lied (Dj Rukus Intro Edit - Clean),118.00,227,Pop
520,Im In Love With A Monster (Radio Edit),145.00,210,Pop
521,The Life (Dj Rukus Intro Edit) (Clean),104.00,212,Pop
522,Work From Home (Dj Rukus Hook In) (Clean),105.00,246,R&amp;B
523,Worth It (Remix) (Clean) 1,100.00,224,Remix
524,All In My Head (Flex) (Dj Rukus Intro Edit - Clean),95.00,242,Pop
525,Not That Kinda Girl (Dj Rukus Intro Edit - Clean),115.00,208,Pop
526,Not That Kinda Girl (Dj Rukus Intro Edit - Dirty),115.00,208,Pop
527,HandClap (Clean),140.26,191,Alternative
528,GDFR (PHLIPZ EDIT - SHORT),74.90,150,Hip Hop
529,Good Feeling (Short Edit) (Clean),128.00,100,Hip Hop
530,Hello Friday,100.00,200,Pop
531,Low (Transition Up) (110-128) (Reaction Edit),128.01,213,Transitions
532,My House (Intro Edit) (Clean),94.00,219,Hip Hop
533,Dirty Mind (Caked Up and Ohmy Remix),75.00,184,Trap
534,I Dont Like It I Love It (Intro),118.00,260,Intros
535,Whos With Me (Clean),84.00,211,Hip Hop
536,At Night (Radio Edit),99.00,238,Pop
537,Anything Goes (Clean),154.00,219,Country
538,H.O.L.Y. (Radio),78.00,192,Country
539,Off The Rip (MMP Intro) ((Dirty)),89.00,269,Intros
540,Off The Rip (MMP Intro) (Clean),89.00,269,Intros
541,Antidote (Remix) (Dirty),131.00,168,Hip Hop
542,No Shopping (DJ Hope Hype Intro)(Clean),83.55,252,Hip Hop
543,No Shopping (DJ Hope Hype Intro)(Dirty),84.00,251,Hip Hop
544,Figure It Out (MMP Intro) (Clean),84.00,262,Hip Hop
545,Figure It Out (MMP Intro) (Dirty),84.00,262,Hip Hop
546,LockJaw (Remix) (Clean),85.00,223,Hip Hop
547,LockJaw (Remix) (Dirty),85.00,220,Hip Hop
548,Lockjaw (Clean),85.00,226,Hip Hop
549,Lockjaw (Dirty),85.00,227,Hip Hop
550,Blow A Bag (Clean),141.00,199,Hip Hop
551,Blow A Bag (Dirty),141.00,198,Hip Hop
552,Thought It Was A Drought (Clean),125.00,266,Hip Hop
553,Thought It Was A Drought (Dirty),125.00,265,Hip Hop
554,Trap N ggas (Dirty),81.00,182,Hip Hop
555,Trap Niggas (Clean),81.00,181,Hip Hop
556,Low Life (Intro) (Clean),72.00,453,Hip Hop
557,Low Life (Intro) (Dirty),72.00,453,Hip Hop
558,Where Ya At (MMP Intro) (Clean),81.00,237,Intros
559,Where Ya At (MMP Intro) (Dirty),81.00,237,Intros
560,Commas (Lil Wayne Remix) (Intro) (Dirty),140.00,164,Hip Hop
561,Commas (Mr Worldwide Spanish Remix) (Dirty),140.00,197,Hip Hop
562,Me Myself and I (Clean),112.00,252,Hip Hop
563,Me Myself and I (Dirty),112.04,252,Hip Hop
564,Random (MMP Intro) (Clean),87.08,241,Hip Hop
565,Random (MMP Intro) (Dirty),87.08,241,Hip Hop
566,Sad Boy (Clean),81.00,203,Hip Hop
567,Sad Boy (Dirty),81.00,203,Hip Hop
568,You Got Me (MMP Intro) (Dirty),95.02,262,Hip Hop
569,One Of Them (Clean),110.00,199,Hip Hop
570,Drifting (Clean),135.00,273,Hip Hop
571,Order More (Clean),140.00,208,Hip Hop
572,Order More (Dirty),140.00,208,Hip Hop
573,Of All Things (Clean),97.00,212,Hip Hop
574,Of All Things (Dirty),97.00,213,Hip Hop
575,Drifting (Dirty),135.00,273,Hip Hop
576,Saw It Coming (Dj Rukus Intro Edit - Clean),92.00,227,Hip Hop
577,100 (Clean),108.00,343,Hip Hop
578,Ryda (Super Clean),106.00,209,Hip Hop
579,You Dont Own Me (Dj Rukus Intro Edit - Clean),93.74,238,Hip Hop
580,All My Children (Dj Rukus Intro Edit - Clean),126.00,243,Hip Hop
581,All My Children (Dj Rukus Intro Edit - Dirty),126.00,243,Hip Hop
582,First Day Out Tha Feds (Clean),138.00,184,Hip Hop
583,First Day Out Tha Feds (Dirty),138.00,184,Hip Hop
584,On Me (Dirty),78.00,204,Hip Hop
585,Back On The Road (Dj Rukus Intro Edit - Dirty),74.00,168,Hip Hop/Rap
586,Hollaback Girl (Rave Radio Remix) (Dirty),128.00,219,Remix
587,Make Me Like You (Clean),118.00,213,Pop
588,Misery (Radio Edit),95.00,206,Pop
589,Used To Love You (Clean),96.00,227,Pop
590,Where Would I Be (Dj Rukus Hook In) (Clean),104.00,258,Pop
591,100 (Dirty),108.00,343,Hip Hop
592,Love Myself (Main),123.00,218,Pop
593,Starving (Clean),100.01,179,Pop
594,Starving (Dirty),100.00,179,Pop
595,Colors (Clean),100.00,206,Alternative
596,New Americana (Radio),87.00,180,Alternative
597,Drop It Down Low (Dj Rukus QuickHitter - Clean),100.00,97,Twerk
598,Dumb For You (MMP Intro) (Clean),102.00,216,Intros
599,Hit The Quan (MMP Intro) (Clean),80.00,192,Hip Hop
600,Real People (Dj Rukus Intro Edit) (Dirty),106.03,163,Hip Hop
601,Emergency (MMP Intro) (Clean),126.00,182,Pop
602,Roots (Clean),158.00,173,Alternative
603,Love Yourz (Intro) (Clean),83.00,208,Intros
604,Love Yourz (Intro) (Dirty),83.00,208,Intros
605,No Role Models (MMP Intro) (Clean),100.00,350,Intros
606,Fuck the Police (Dj Rukus Intro Edit) (Dirty),98.38,175,Hip Hop/Rap
607,Where Are U Now (Album Version),140.00,243,Electronica
608,Animal Style (Dj Rukus Intro Edit) (Clean),97.00,168,Intros
609,Fall For Your Type (Cool Hand Lex Lemi Vice And Action Jackson Remix),102.00,233,Twerk
610,Babys In Love (MMP Intro) (Clean),117.00,227,Intros
611,Babys In Love (MMP Intro) (Dirty),117.00,227,Intros
612,Dammn Baby (MMP Intro) (Radio),102.00,230,R&amp;B
613,Night (MMP Intro) (Clean),120.00,280,R&amp;B
614,No Sleep (MMP Intro) (Clean),88.00,210,Intros
615,Unbreakable (MMP Intro) (Clean),83.00,167,R&amp;B
616,Cheyenne (Clean),100.00,199,Pop
617,Get Ugly (1Clean Intro),110.93,220,Intros
618,Get Ugly (MMP Intro) (Dirty),110.98,220,Intros
619,Pull Up (MMP Intro) (Clean),96.00,212,R&amp;B
620,Pull Up (MMP Intro) (Dirty),96.00,212,R&amp;B
621,Want To Want Me (Chorus Intro) (Short Edit),114.00,143,Intros
622,Make My Love Go,107.00,209,R&amp;B
623,Ain't Your Mama (Clean),120.00,215,Pop
624,Oui (MMP Intro) (Clean),160.00,272,R&amp;B
625,Oui (MMP Intro) (Dirty),159.99,272,R&amp;B
626,Planes (Remix) (MMP Intro) (Dirty),130.00,265,Intros
627,Don't Tell Em (Dj Rukus Watch Out Now Remix) (Clean),98.00,254,Hip Hop
628,Don't Tell Em (Dj Rukus Watch Out Now Remix) (Dirty),98.00,254,Hip Hop
629,Uber Everywhere (Dj Rukus Intro Edit - Clean),140.00,267,Hip Hop
630,Uber Everywhere (Dj Rukus Intro Edit - Dirty),140.00,267,Hip Hop
631,Classic Man (Remix) (Clean),94.00,233,Hip Hop
632,Classic Man (Remix) (Dirty),94.00,233,Hip Hop
633,All Night (Clean),77.50,241,Hip Hop
634,All Night (Dirty),77.50,245,Hip Hop
635,Tryna Fuck (Dry Intro),129.92,192,Hip Hop
636,No English (Dj Rukus Intro Edit - Clean),138.00,222,Hip Hop
637,No English (Dj Rukus Intro Edit - Dirty),138.00,222,Hip Hop
638,Love Yourself (Clean),100.07,233,Pop
639,What Do You Mean (Clean),125.00,202,Pop
640,Sorry (MMP Intro) (Clean),100.00,238,Pop
641,Drink You Away (Clean),100.00,264,Pop
642,Change (Clean),113.96,348,Hip Hop
643,Change (Dirty),114.00,348,Hip Hop
644,Comfortable (Clean),110.00,210,Hip Hop
645,Comfortable (Dirty),110.00,213,Hip Hop
646,One Hunnid (Clean),87.50,218,Hip Hop
647,One Hunnid (Dirty),87.50,224,Hip Hop
648,Way Down We Go (Clean),81.83,215,Alternative
649,Famous (Official Clean),87.00,195,Hip Hop
650,Waves (Intro) (Clean),98.54,215,Intros
651,Waves (Intro) (Dirty),96.17,219,Intros
652,All Day (Remix) (Clean),97.95,288,Hip Hop
653,All Day (Remix) (Dirty),98.32,288,Hip Hop
654,Fade (Dirty),106.00,192,Hip Hop
655,Famous (Dirty),87.00,194,Hip Hop
656,Famous (Official Dirty),86.98,194,Hip Hop
657,247 (Clean),92.00,177,R&amp;B
658,247 (Dirty),92.00,177,R&amp;B
659,CRZY (Clean),130.00,190,R&amp;B
660,CRZY (Dirty),130.00,190,R&amp;B
661,FWU (Clean),138.00,200,R&amp;B
662,FWU (Dirty),138.00,200,R&amp;B
663,The Way (Clean),101.06,181,R&amp;B
664,The Way (Dirty),101.00,181,R&amp;B
665,Break on Me,87.00,205,Country
666,John Cougar John Deere John 316,85.00,218,Country
667,Wasted Time (Radio),100.00,223,Country
668,Piece By Piece (Radio Edit),110.00,223,Pop
669,Run Run Run (Radio Edit),112.05,272,Pop
670,Blue Faces (MMP Intro) (Clean),120.00,224,Hip Hop
671,Blue Faces (MMP Intro) (Dirty),120.00,224,Hip Hop
672,Levitate (Clean),127.00,144,Hip Hop
673,These Walls (Clean),108.00,248,Hip Hop
674,Untitled 03 05.28.2013 (Clean),104.00,154,Hip Hop
675,Untitled 03 05.28.2013 (Dirty),103.97,154,Hip Hop
676,Untitled 05 09.21.2014 (Clean),154.00,338,Hip Hop
677,Untitled 05 09.21.2014 (Dirty),154.00,338,Hip Hop
678,Untitled 07 2014 2016 (Clean),126.82,496,Hip Hop
679,Untitled 07 2014 2016 (Dirty),126.95,496,Hip Hop
680,Untitled 08 09.06.2014 (Clean),120.00,235,Hip Hop
681,Untitled 08 09.06.2014 (Dirty),120.00,235,Hip Hop
682,Noise (Radio),110.01,201,Country
683,Save It For A Rainy Day (MMP Intro) (Clean),155.02,198,Country
684,Dont Mind (Clean),159.00,195,Hip Hop
685,Dont Mind (Dirty),79.50,195,Hip Hop
686,Dont Mind (Dj Rukus Intro Edit) (Clean),159.00,229,Hip Hop
687,Dont Mind (Dj Rukus Intro Edit) (Dirty),159.00,229,Hip Hop
688,Dont Mind (Mr. Worldwide Remix) (Intro) (Clean),159.01,253,R&amp;B
689,Dont Mind (Mr. Worldwide Remix) (Intro) (Dirty),159.00,253,R&amp;B
690,Tik Tok (SE) (Clean),120.00,131,Pop
691,Die Young (Dj Rukus Trap Remix) (Intro Edit) (Clean),136.00,248,Intros
692,2 Phones (Clean),122.00,238,Hip Hop
693,2 Phones (Dirty),122.00,238,Hip Hop
694,John Gotti (Intro) (Clean),86.67,310,Intros
695,John Gotti (Intro) (Dirty),86.67,310,Intros
696,Really Really (Intro) (Clean),118.99,290,Hip Hop
697,Really Really (Intro) (Dirty),119.00,290,Hip Hop
698,Lie To Kick It (Dirty),99.00,215,Hip Hop
699,Thats On You (Clean),105.00,210,Hip Hop
700,Thats On You (Dirty),105.00,210,Hip Hop
701,Hotel (DJ Slick Intro) (Dirty),103.00,262,Intros
702,Rewind (Dirty),100.00,240,Hip Hop
703,Promise (Clean),137.35,223,Hip Hop
704,Promise (Dirty),137.33,223,Hip Hop
705,No Flockin (Clean),117.50,165,Hip Hop
706,No Flockin (Dirty),117.50,165,Hip Hop
707,Skrt (Clean),111.00,226,Hip Hop
708,Skrt (Dirty),111.00,224,Hip Hop
709,Cupid Shuffle,71.80,231,
710,Get Lucky (feat. Pharrell Williams &amp; Nile Rodgers),116.05,369,Pop
711,Boom Boom Pow,130.00,251,
712,I Gotta Feeling,128.00,289,
713,Wobble,95.00,323,Hip-Hop/Rap
714,Casper Cha-Cha Slide,122.03,387,
715,Sandstorm,136.06,225,Dance
716,Meant To Be (Clean),77.00,162,Pop
717,Nuh Ready Nuh Ready (Clean),116.00,182,Pop
718,Nuh Ready Nuh Ready (Dirty),116.00,182,Pop
719,Could You Believe It (Clean),75.00,192,Hip Hop
720,Could You Believe It (Dirty),75.00,192,Hip Hop
721,Midnight Summer Jam (Dirty),120.00,311,Pop
722,Tell You That (Dj Rukus Intro Edit - Clean),100.00,172,Twerk
723,Tell You That (Dj Rukus Intro Edit - Dirty),100.00,172,Twerk
724,Save Dat Money (Intro) (Clean),97.97,417,Intros
725,Save Dat Money (Intro) (Dirty),97.97,417,Intros
726,My Beyonce (Acapella),138.20,216,Bootleg
727,My Beyonce (Clean),138.00,281,Bootleg
728,My Beyonce (Dirty),138.00,281,Bootleg
729,My Beyonce (Instrumental),138.00,216,Bootleg
730,Get Loose (Dirty),128.00,182,Electro
731,Outta Your Mind (Dj Rukus Peak Hour Break) (Dirty),101.90,88,Hip Hop
732,Make Em Bounce (Dj Rukus Intro Edit - Clean),75.00,204,Twerk
733,Make Em Bounce (Dj Rukus Intro Edit - Dirty),75.00,204,Twerk
734,8 Top (Dirty),120.00,233,Hip Hop
735,Money Longer (Dj Rukus Intro Edit - Clean),136.00,225,Hip Hop
736,Money Longer (Dj Rukus Intro Edit - Dirty),136.00,225,Hip Hop
737,You Was Right (Dj Rukus Intro Edit - Clean),82.00,188,Hip Hop
738,You Was Right (Dj Rukus Intro Edit - Dirty),82.00,188,Hip Hop
739,Proud (Dj Rukus Intro Edit) (Clean),87.00,253,Hip Hop
740,Proud (Dj Rukus Intro Edit) (Dirty),87.00,253,Hip Hop
741,Look Alive (Clean),140.00,180,Hip Hop
742,Look Alive (Dirty),140.00,180,Hip Hop
743,Big Shot (Dj Rukus Intro Edit) (Clean),173.33,251,Hip Hop
744,Big Shot (Dj Rukus Intro Edit) (Dirty),173.33,251,Hip Hop
745,Do It Again (Dj Rukus Intro Edit - Dirty),80.00,192,Hip Hop
746,Glory (Intro) (MMP Edit) (Clean),79.02,300,Intros
747,Glory (MMP Intro) (Dirty),79.01,300,Intros
748,I Feel Good (MMP Intro) (Dirty),81.00,231,Intros
749,Nothing But Trouble (Clean),126.00,218,Hip Hop
750,Nothing But Trouble (Dirty),126.00,218,Hip Hop
751,Im that Nigga (MMP Intro) (Dirty),86.00,256,Intros
752,Bitch Im The Bomb (Dj Rukus 2016 ReMake) (Clean),95.00,174,Hip Hop
753,Bitch Im The Bomb (Dj Rukus 2016 ReMake) (Dirty),95.00,174,Hip Hop
754,Sucker For Pain (Clean Intro),84.57,289,Hip Hop
755,Sucker For Pain (Dirty Intro),84.31,290,Hip Hop
756,One Night (Dj Rukus Intro Edit) (Dirty),130.00,284,Hip Hop
757,Minnesota Remix (Dirty),130.00,268,Hip Hop
758,Pain Killer (Radio),81.01,188,Country
759,Black Magic (Clean),112.00,211,Pop
760,Black Magic,112.00,209,Pop
761,Love Me Like You (7th Heaven Radio Edit),126.00,192,House
762,Secret Love Song (Clean),92.99,228,R&amp;B
763,Headsprung (Dj Rukus Redrum Break) (Clean),100.00,106,Hip Hop
764,Party Rock Anthem (Short Intro) (Clean),130.00,178,Intros
765,Fade Away (Clean),76.00,287,Hip Hop
766,Fade Away (Dirty),76.00,287,Hip Hop
767,Flexicution (Dj Rukus Intro Edit - Dirty),80.00,240,Hip Hop
768,Flexicution (Instrumental),160.00,219,Hip Hop
769,Flexicution (Intro) (Clean),160.00,384,Hip Hop
770,Like Woah (Clean),107.00,232,Hip Hop
771,Like Woah (Dirty),107.00,232,Hip Hop
772,Never Been (Dirty),101.00,247,Hip Hop
773,The Jam (Dj Rukus Intro Edit - Clean),74.50,251,Hip Hop
774,The Jam (Dj Rukus Intro Edit - Dirty),74.50,251,Hip Hop
775,Upgrade (Clean),83.00,173,Hip Hop
776,Upgrade (Dirty),83.00,173,Hip Hop
777,Young Jesus (MMP Intro) (Clean),95.00,212,Hip Hop
778,Young Jesus (MMP Intro) (Dirty),95.00,212,Hip Hop
779,Wrist (Dj Rukus Intro Edit - Clean),140.00,219,Hip Hop
780,Wrist (Dj Rukus Intro Edit - Dirty),140.00,219,Hip Hop
781,Get Lit (Frizzo Remix),105.00,148,Trap
782,7 Years (Clean),120.00,237,Pop
783,Mama Said (Dj Rukus Intro Edit - Clean),84.00,205,Pop
784,Huntin Fishin and Lovin Every Day (Radio),77.00,277,Country
785,Kick The Dust Up (MMP Intro) (Clean),86.00,220,Country
786,Home Alone Tonight,81.00,187,Country
787,Ophelia (Clean),152.56,153,Indie
788,Patron and Percs (Dj Rukus Intro Edit - Clean),100.00,220,Hip Hop
789,Patron and Percs (Dj Rukus Intro Edit - Dirty),100.00,220,Hip Hop
790,Ante Up (Nikolas Degas Remix) (OG Intro Seg),100.00,195,Hip Hop
791,Alpha Omega (Clean),124.00,212,Hip Hop
792,Alpha Omega (Dirty),124.00,212,Hip Hop
793,Till I Die (Remix) (Intro) (Clean),109.97,420,Hip Hop
794,Till I Die (Remix) (Intro) (Dirty),109.97,420,Hip Hop
795,Dance Off (Intro) (Clean),121.00,209,Hip Hop
796,Dance Off (Dirty),121.00,227,Hip Hop
797,Downtown (Radio Edit),109.70,265,Pop
798,Uber Everywhere (Dj Rukus Intro Edit) (Dirty),140.00,171,Hip Hop
799,I Want (Clean),119.99,232,Hip Hop
800,I Want (Dirty),120.00,232,Hip Hop
801,Unapologetic Bitch,150.03,230,Pop
802,Bitch Im Madonna (Clean),75.00,226,Pop
803,Red Dress (Dj Rukus Intro Edit - Clean),136.00,247,Pop
804,Sunday Funday (MMP Intro) (Clean),94.00,245,Intros
805,Lay You Down Easy (Clean),90.00,160,Pop
806,Light It Up (Remix) (Quick Hit) (Clean),108.17,80,Pop
807,Boom (Dirty),100.00,184,Electronic
808,Powerful (Clean),130.00,206,Pop
809,Too Original (Clean),128.00,205,Electro
810,Too Original (Dirty),128.00,206,Electro
811,Light It Up (Intro) (Clean),90.00,246,Electro
812,Light It Up (Remix),108.02,166,Remix
813,Rocky Balboa (Intro Edit) (Clean),101.00,191,Twerk
814,Infinity (MMP Intro) (Clean),134.80,256,Intros
815,Forever (Clean),116.05,242,R&amp;B
816,Good Vibrations (DJSkillzMusic Acapella Intro),122.00,267,Pop
817,Feelings (Main),122.00,194,Pop
818,Sugar (Intro) (Acapella Outro),120.00,144,Acapellla
819,This Summers Gonna Hurt (Mmp Intro) (Clean),99.00,259,Intros
820,This Summers Gonna Hurt Like A Motherfucker (MMP Intro) (Dirty),99.00,259,Intros
821,Dont Look Down (Dj Vinyl Fingers Edit),128.02,247,Bootleg
822,Sexual Healing (Kygo Remix),101.00,368,Deep House
823,Monster (DJ Slick Intro) (Dirty),94.40,194,Hip Hop
824,Pray For Em (Introdirty),142.00,209,Hip Hop
825,All The Way Up (Clean),91.00,287,Hip Hop
826,All The Way Up (Dirty),91.00,287,Hip Hop
827,All Eyes On You (Clean),77.50,224,Hip Hop
828,All Eyes On You (Dirty),77.50,224,Hip Hop
829,RICO (MMP Intro V2) (Clean),112.00,204,Intros
830,RICO (MMP Intro V2) (Dirty),112.00,204,Intros
831,Problem (Introdirty),139.99,164,Hip Hop
832,Champagne Problems (Clean),110.00,222,Mainstream
833,Me Too (MMP Intro) (Clean),123.80,205,Pop
834,No (DJ Rukus MMP QuickHitter - Clean),94.00,126,Pop
835,Watch Me Do (Dj Rukus Intro Edit) (Clean),112.00,197,Pop
836,I Love Me (Dj Rukus QuickHitter) (Clean),97.00,108,Pop
837,The Purple Tape (Dirty),86.00,204,Hip Hop
838,Straight Gutta (Dirty),92.00,239,Hip Hop
839,Came From Nothing (Dirty),124.00,255,Hip Hop
840,Pipe It Up (Intro) (Dirty),129.99,221,Hip Hop
841,Too Much Jewelry (Clean),75.00,245,Hip Hop
842,Too Much Jewelry (Dirty),75.00,245,Hip Hop
843,Top Down On Da NAWF (MMP Intro Edit) (Clean),75.50,279,Hip Hop
844,Top Down On Da NAWF (MMP Intro Edit) (Dirty),75.50,279,Hip Hop
845,Danger (Clean),108.00,214,Hip Hop
846,I Took A Pill In Ibiza (SeeB Remix) (Dirty),102.00,197,House
847,These Days (Dj Rukus Intro Edit - Clean),130.00,251,Hip Hop
848,These Days (Dj Rukus Intro Edit - Dirty),130.00,251,Hip Hop
849,Smokin and Drinkin (Clean),79.00,228,Country
850,Pep Rally (Intro) (Clean),90.00,296,Intros
851,Pep Rally (Intro) (Dirty),89.98,296,Intros
852,WTF (Quick Hit) (Clean),119.98,86,Hip Hop
853,WTF (Where They From) (Clean),120.00,192,Hip Hop
854,WTF (Where They From) (Dirty),120.00,192,Hip Hop
855,Bad Girls (Clean),88.00,193,Pop
856,Ditmas (Radio Edit),144.00,218,Rock
857,Coming With You (DJ Slick Intro),120.00,265,R&amp;B
858,Hot in Here (M-Key Acap In),110.00,219,Hip Hop
859,Hot in Here (M-Key Acap In),110.00,185,Hip Hop
860,The Fix (Clean),95.50,173,Hip Hop
861,The Fix (Dirty),95.50,173,Hip Hop
862,Levels (Clean),102.00,167,Pop
863,Close,124.00,233,Pop
864,Satellite (Radio Edit),83.00,237,Rock
865,Staships (Short Edit) (Clean),125.00,126,Pop
866,The Night Is Still Young,128.00,227,Hip Hop
867,That's How You Know (Clean),104.00,186,Pop
868,Mo Money Mo Problems (Shoe Scene Remix),115.00,273,House
869,Cut It (feat. Young Dolph) - Explicit,130.00,222,Hip Hop
870,Cut It (feat. Young Dolph),130.00,222,Hip Hop
871,Cut It (Remix) (Part Two) (Clean),130.00,222,Hip Hop
872,Cut It (Remix) (Part Two) (Dirty),130.00,222,Hip Hop
873,Hula Hoop (MMP Intro) (Clean),122.00,214,Pop
874,Cheerleader (MMP Intro) (Clean),118.00,183,Intros
875,Perfect (MMP Intro) (Clean),100.00,254,Pop
876,Push It (Dirty Intro),85.36,202,Hip Hop
